gloss,uses,forms,sayable
"a town and district of erzurum province, turkey",51,3,1
to make happy; to elate,51,3,1
"fence, hedge",51,4,1
"despicable, lowlife",51,3,0
butterfly-like insect: moth (usually nocturnal insect of the order lepidoptera),51,3,1
"finesse, perfection, excellence, delicacy",51,4,0
oolong tea (type of tea with a taste in between green tea and black tea),51,3,1
reduced form of etkös,51,3,1
"tough, leathery, rubbery",51,4,1
second-person singular past historic of oser,51,3,1
prepositional singular of эль (elʹ),51,3,1
third-person singular simple perfect indicative of fute: he/she fucked,51,3,1
quiz (question-answering competition),51,3,1
"wall, partition",51,4,1
a male given name from swedish sven,51,3,1
"deception, fraud",51,3,1
un-; de-; dis- (forms verbs indicating the reversal of the prefixed verb),51,4,1
"load, burden",51,3,1
tongan (austronesian language spoken in tonga),51,3,1
drink,51,4,1
tank; vat,51,3,1
"sigh, yawn; the act of sighing",51,3,1
a trebuchet or similar kind of pellet-firing siege engine.,51,4,1
pre-1918 spelling of ми́ро (míro).,51,4,1
pupa (insect in its development stage between a larva and an adult),51,3,1
"spleen, milt",51,3,1
"an ell, a cubit, a historic measure of length = 2 feet = 24 inches = 1/3 fathom",51,4,1
"trust, confidence",51,3,1
odd (indivisible by two),51,4,1
expenses,51,4,1
wood (the material of the inner parts of the trunk and branches of a tree),51,4,1
"musical theater song, usually with social or political commentary (is there an english equivalent to this definition?)",51,4,1
yodh,51,4,0
"spurt (a sudden but not prolonged action, especially a brief increase in speed of an ongoing action)",51,4,1
verbal noun of مَكَرَ (makara) (form i),51,4,1
"tour, trip",51,4,1
rhea bird,51,4,1
fox (vulpes vulpes),51,4,1
a thigh,51,4,1
dough (substance used to make bread etc.),51,5,1
"a fraud (the act), cheating",51,5,1
mere,51,5,0
rye (grass; grain),51,5,1
surcharge,51,5,0
hangar (a large garage-like structure where aircraft are kept),51,5,1
"anus, arse(hole), rectum",51,5,1
first-person singular preterite indicative of activar,50,1,1
"aktepe (a village in besni district, adıyaman province, turkey)",50,1,1
"a female given name, masculine equivalent apolonio",50,1,1
arapaho (a member of the arapaho people of north america),50,1,1
aruküla (a small borough of estonia),50,1,1
"august; noble, stately",50,1,1
"a bier, a stretcher, a litter; a device used to carry someone or something, especially wounded or dead people",50,1,1
barn (minuscule unit of area equal to 10-28 square metres),50,1,1
"well-seeing; having eyesight, seeing, sighted",50,1,1
bullet; projectile of a firearm,50,1,1
"a mixture of wax, linseed oil and turpentine used in bookbinding; the process of applying this mixture",50,1,1
"blue, azure",50,1,1
"bonaire (an island, dependent territory, and special municipality of the netherlands in the caribbean, off the west coast of venezuela)",50,1,1
bossage,50,1,0
"cantagallo (a town, a municipality of bolívar department, colombia)",50,1,1
"caravan (type of trailer, mobile home)",50,1,1
"terribly bad, awfully bad",50,1,1
a nymph transformed into a fountain,50,1,1
"dark bluish coloration around the eyes, periorbital dark circle",50,1,1
columbarium,50,1,0
square (a polygon with four straight sides of equal length and four right angles),50,1,1
"chufa, earth almond, cyperus esculentus",50,1,1
"danube (a river in europe; flowing 2,850 kilometers from the confluence of the breg and brigach at donaueschingen, germany, into the black sea in romania)",50,1,1
process (path of succession of states through which a system passes),50,1,1
register (official book),50,1,1
to deafen; to cause to lose hearing.,50,1,1
diplomat,50,1,0
of or pertaining to the gens fabia.,50,1,1
ugric,50,1,0
bellboy,50,1,0
"threshing-floor, cleared plot of land in farms on which stacks of grain are piled, accompanied by threshing and processing of grain",50,1,1
verbal noun of حَبَسَ (ḥabasa) (form i),50,1,1
the halcyon; kingfisher.,50,1,1
lumberjack,50,1,0
"a male given name, equivalent to english herbert",50,1,1
empire,50,1,1
indoor,50,1,0
"a constructing, erecting, building, insertion.",50,1,1
"cool, nice, good",50,1,1
successful,50,1,0
"tripartism (economic governance based on tripartite contracts of business, labour, and state - called "social partners" in this context)",50,1,1
"to poke, to pick ((lightly) touch or fiddle, prod or jam)",50,1,1
corner (the space in the angle between converging lines or walls which meet in a point),50,1,1
"lemay: a surname transferred from the place name, common in quebec",50,1,1
wolf cub (young wolf),50,1,1
to send (an animal) to pasture,50,1,1
marble (stone),50,1,1
"myrtle, an evergreen shrub or small tree of the genus myrtus",50,1,1
a station or position in an organisation:,50,1,1
"mushy, soft, easy to peel",50,1,1
roti,50,1,0
seepweed (suaeda spp.),50,1,0
"navigation (theory and practice of charting a course for a ship, aircraft or spaceship)",50,1,1
forms adjectives' comparative degrees,50,1,1
circulation,50,1,0
mouth; oral,50,1,1
a traditional mapuche game similar to hockey,50,1,1
paquin: a surname,50,1,0
pavlova,50,1,0
galician manor,50,1,0
pegmatite,50,1,0
"persian (member of ethnic group, breed of cat)",50,1,1
pine nut,50,1,1
"placid, calm",50,1,1
"poseur, poser",50,1,0
poya,50,1,0
corner (projection of an angle in a solid object),50,1,1
scratched,50,1,1
"a male given name, alternative spelling of remi",50,1,1
"reservoir, store",50,1,1
"a female given name, masculine equivalent roberto",50,1,1
a ballad; a love song,50,1,1
"fir, fir tree",50,1,1
schilling (austrian pre-euro currency),50,1,1
first/third-person singular preterite indicative of sċafan,50,1,1
sign; mark; trace (a visible or otherwise perceivable indication of something),50,1,1
sindhi (from or relating to the pakistani province of sindh),50,1,1
"a village in josenii bârgăului, bistrița-năsăud county, romania",50,1,1
the south; used to denote the mediterranean region,50,1,1
tablet,50,1,1
"a great song, a banger, a hit track.",50,1,1
"a male given name, equivalent to english theobald",50,1,1
having many thorns or spines; thorny.,50,1,1
roman tunic,50,1,0
a mark caused by a blow or hit,50,1,1
"round, rounded, rotund",50,2,1
"to be able to, to know (how to do), understand, to have practical knowledge",50,2,1
"remorse, regret",50,2,1
beefsteak,50,2,0
the inca god of the sun,50,2,1
kudo,50,2,0
okrug (an administrative division of certain slavic states),50,2,1
third-person singular single-possession possessive of ív,50,2,1
soft porn,50,2,1
second-person singular voseo imperative of volar,50,2,1
wolverine,50,2,0
a hundred; a court district in the swedish countryside from medieval times until 1970,50,2,1
"prostitute, whore",50,2,1
second-person singular past historic of user,50,2,1
to eat or drink what is necessary to survive,50,2,1
blowtorch/blowlamp (especially one powered by propane or lpg),50,2,1
third-person singular existential negative colloquial of bod,50,2,1
"right, right side (opposed to left)",50,2,1
"to stay (as a guest), to stay over",50,2,1
"verbal noun of قَتَلَ (qatala): murder, killing",50,2,1
substitute judge,50,2,1
"tug, pull, jerk",50,2,1
target ball,50,2,1
female equivalent of bebo,50,2,1
collie (group of dog breeds),50,2,1
sunny,50,2,0
"reception hall, salon",50,2,1
"terrifying, frightening, awe-inspiring",50,2,1
rap; rap music,50,2,1
"smiley, emoticon, emoji",50,2,0
"to be obscure, to be unapparent, to be hidden, to be concealed; to become obscure, to become unapparent, to become hidden, to become concealed",50,2,1
linden or lime tree,50,2,1
"a container or vessel (e.g. pot, jug, etc.)",50,2,1
lighter,50,2,1
shi'i,50,2,0
to defend; to protect; to shelter; to guard,50,2,1
a word (unit of language),50,2,1
-ist (denotes a person who deals with or has an education in a specific subject area),50,2,1
female equivalent of tirano,50,2,1
"bounded, bordered (by)",50,2,1
tenth,50,2,1
"hawk, falcon",50,2,1
"work, deed",50,2,1
"scratch, gash",50,3,1
a good or brave woman.,50,3,1
persians,50,3,0
a leaf (organ of a plant).,50,3,1
to take (repeatedly or frequently); iterative of брать (bratʹ),50,2,1
coffee plantation,50,2,1
"sessile oak, durmast oak (quercus petraea)",50,2,1
"builder, constructor",50,3,0
vanda,50,2,0
"floodgate, sluice gate",50,2,1
spur,50,3,1
cuman (member of a nomadic turkic people of central asia),50,2,1
"to hop, jump, leap, spring",50,2,1
"strife, slander",50,3,1
"rebel, outlaw",50,2,1
"darling, favorite, pet, mollycoddle",50,2,1
kashmiri (language),50,2,1
"side, flank (of the body of a person or animal)",50,3,1
blond (fair haired person),50,3,1
"maggoty, infested with maggots",50,2,1
"orc (a monstrous humanoid creature, semi-intelligent and usually aggressive)",50,2,1
peace (warlessness),50,2,1
hazel (tree corylus avellana),50,2,1
"tang (part of a knife, fork, file, or other small instrument, which is inserted into the handle)",50,3,1
furni (an item on habbo),50,2,1
"a female given name, equivalent to english juliet",50,2,1
"goodness, kindness",50,2,0
"a city in constanța county, dobruja, in eastern romania",50,2,1
to struggle,50,3,1
"drinking, alcoholism",50,3,1
"wretch (now only as pauvre hère, but formerly also on its own)",50,3,1
"cone, strobilus",50,3,1
a plot of forestland prepared to be burned (and turned into a swidden) in slash and burn agriculture,50,3,1
salat,50,2,0
to rip or tear,50,3,1
a canopy (over an important object or person),50,2,1
"roll, roller",50,2,1
weed (unwanted plant),50,3,1
"a suffix used to form some verbs, often with factitive effect",50,3,1
backpack,50,2,0
masculine singular present transgressive of mnít,50,3,1
"tambov (a city, the administrative center of tambov oblast, russia)",50,3,1
bass (instrument),50,3,1
decilitre,50,3,0
a kind of water plant.,50,3,1
third-person singular indicative simple past of ermek,50,3,1
a diminutive of the female given name asunción,50,4,1
"strip, band (long, flat piece of material)",50,3,1
"fine, good, nice, excellent, superb, splendid",50,3,1
etna,50,3,0
dog (four-legged animal),50,3,1
"lappish, lapp (of, or pertaining to the lapps, their language, or lapland)",50,3,1
wether,50,3,0
"a surname, morozov, one of the most common russian surnames",50,3,1
"funny (amusing; comical), fun",50,3,1
wrestler,50,3,0
masculine animate nominative/vocative plural of jiný,50,3,1
depressed terrain,50,4,1
first-person singular preterite colloquial of uno,50,3,1
pomp,50,3,0
"gun, handgun",50,4,1
"forge (workshop), smithy",50,3,1
agha (honorific for high officials in the ottoman empire),50,4,1
first-person singular preterite indicative of colar,50,3,1
a fall (the act of falling),50,3,1
second-person singular imperative imperfective of кури́ть (kurítʹ),50,3,1
rocks,50,3,1
"pen, fold (a kind of fence made of sticks, used to keep livestock, especially sheep, together, or the area enclosed by it in the pasture)",50,4,1
croft (small field),50,3,1
noble (having a noble character),50,4,1
"speechless (not knowing what to say, especially due to surprise, amazement, etc.)",50,3,1
a gorge or canyon,50,4,1
"a town and municipality of stockholm county, sweden",50,4,1
"aria (solo singing piece, notably in operatic genres)",50,3,1
greeks,50,3,0
masculine singular present transgressive of tulit,50,4,1
"arch-, ultra-",50,3,1
whisk,50,4,0
"brilliance, panache",50,4,0
first-person singular preterite colloquial of gwneud,50,4,1
a type of long-sleeved knitted sweater,50,4,1
famous,50,4,1
"service, power offered, corvee, what a vassal performs",50,4,1
"sink, kitchen sink",50,4,1
"plank, board",50,4,1
thorny bush,50,4,1
trithrinax schizophylla,50,4,0
ion (atom or group of atoms bearing an electrical charge),50,4,1
to occur successively,50,4,1
"side, lateral surface",50,4,1
dose,50,4,1
"nut, a hard-shelled seed",50,4,1
first/third-person singular preterite indicative of āgalan,50,5,1
"academy, academe",49,1,0
cellar (collection of wine),49,1,1
"fair, just,",49,1,1
ark,49,1,0
"aleksandrów (a village and gmina in biłgoraj county, lublin voivodeship, poland)",49,1,1
"sadness, grief, woe",49,1,1
of or pertaining to water,49,1,1
"balance, scales",49,1,1
bash; crush,49,1,1
"deed, action",49,1,1
"a glutton, one who eats much or too much.",49,1,1
cuban cigar plant (calathea lutea),49,1,1
"a neighbourhood of rotterdam, south holland, netherlands",49,1,1
bluegrass,49,1,0
burgenland (a state of austria),49,1,1
second-person singular conditional colloquial of canu,49,1,1
"guangzhou (the capital and largest city of guangdong, china)",49,1,1
"cayes (a seaport and commune of cayes borough, sud department, haiti)",49,1,1
spark (burst of electric discharge),49,1,1
to crop; to cut shorter (removing the top),49,1,1
"quits, even",49,1,1
cube (all senses),49,1,1
"vile, nefarious",49,1,0
"compound of da', the second-person singular imperative form of dare, with li",49,1,1
verbal noun of ذَابَ (ḏāba) (form i),49,1,1
"to defecate, to shit, to take a dump",49,1,1
gum (soft tissue around the teeth),49,1,1
"calm, tranquil, serene",49,1,1
"a common surname, dufour",49,1,1
gown,49,1,0
masculine singular past indicative imperfective of знать (znatʹ),49,1,1
"ecologic, ecological",49,1,0
linoleum,49,1,0
"church font, as that used for baptism",49,1,1
fukushima (a city and prefecture of japan),49,1,1
"something deceitful or prone to failure, as a broken boat",49,1,1
a little leg,49,1,1
"garish, showy, brash",49,1,0
"the san francisco giants, a baseball team",49,1,1
a german surname (predominantly in southern germany (bavaria) and austria),49,1,1
"concealing, screening, protecting",49,1,1
hartebeest (alcelaphus buselaphus),49,1,0
"a village in hulst, zeeland, netherlands",49,1,1
"a hamlet in oisterwijk, north brabant, netherlands",49,1,1
hydrangea,49,1,0
used with a stem to form the third-person plural imperfect of regular -ire verbs,49,1,1
"prawn, shrimp",49,1,1
jaguar (cat),49,1,1
"spire, height of a tower",49,1,1
english or american yard,49,1,1
"a female given name from latin, equivalent to english jane",49,1,1
silver catfish (rhamdia quelen),49,1,1
"castle, fort, hill fort",49,1,1
"kid, child, brat",49,1,1
"niggard, skinflint",49,1,0
stern (rear end of a ship or other vessel),49,1,1
an ell (unit of measure),49,1,1
"without much room, narrow, close",49,1,1
"kutia (sweet grain pudding, traditionally served in polish, ukrainian, lithuanian, belarusian, and russian cultures)",49,1,1
