txipur,,chipper,,,,,
txitak,,cheat,,,,,
tiq,,tingle,,,,english,
txikan,,gloss,,,चिक्कण,sanskrit,
txikar,,shrill,,cì ěr,刺耳,chinese,
txisop,,climate,,qihou,气候,chinese,
txifug,,undulate,,qifu,起伏,chinese,
txizit,,resign,,cizhi,辞职,chinese,
txixib,,bias,,qíshì,歧视,chinese,
txixan,,charity,,cí shàn,慈善,chinese,
txilor,,minor,,cì yào,次要,chinese,
txilun,,gear,,chǐ lún,齿轮,chinese,
txiluk,,strategy,,chelue,策略,chinese,
txirik,,cheer up,,,,,
txiral,,moreover,,ciwai,此外,chinese,
txirul,,flimsy,,cuì ruò,脆弱,chinese,
txedik,,thorough,,chè dǐ,彻底,chinese,
txedan,,defect,,quēdiǎn,缺点,chinese,
txebal,,reassure,,quèbǎo,确保,chinese,
txekut,,garage,,chē kù,车库,chinese,
txesan,,chasten,,,,english,
txesul,,mastermind,,cehua,策划,chinese,
txefak,,deficient,,quē fá,缺乏,chinese,
txerak,,cherry,,,,english,
txanik,,migrate,,qiān yí,迁移,chinese,
txanaq,,prospect,,zhanwang,展望,chinese,
txanuk,,confess,,chanhui,忏悔,chinese,
txaqan,,reimburse,,changhuan,偿还,chinese,
txagut,,chug,,,,,
txadiv,,chide,,,,,
txadan,,menu,,cài dān,菜单,chinese,
txabeq,,differential,,chābié,差别,chinese,
txakin,,chuck,,,,english,
txakal,,chuckle,,,,english,
txalat,,traverse,,calata,चलति,sanskrit,
txalal,,material,,cái liào,材料,chinese,
txaloq,,admit,,cǎiyòng,采用,chinese,
txalum,,tide,,cháoliú,潮流,chinese,
txonil,,seat,,zuoyi,座椅,chinese,
txoqul,,pet,,chongwu,宠物,chinese,
txodat,,incite,,códati,चोदति,sanskrit,
txolul,,excellence,,zhuoyue,卓越,chinese,
txumik,,spring (water),,,ཆུ་མིག,tibetan,
txunil,,originality,,chuangyi,创意,chinese,
txugan,,supervisor,,zhuguan,主管,chinese,
txudiq,,ascertain,,queding,确定,chinese,
txudet,,acquire,,qǔdé,取得,chinese,
txudal,,channel,,qú dào,渠道,chinese,
txubek,,reserve,,chǔ bèi,储备,chinese,
txubal,,rowdy,,cū bào,粗暴,chinese,
txusim,,trend,,qushi,趋势,chinese,
txusan,,perspire,,chuhan,出汗,chinese,
txusuk,,retrieve,,quhui,取回,chinese,
txufin,,differentiate,,qufen,区分,chinese,
txuzeg,,choose,,,,,
txuxil,,tendency,,qushi,趋势,chinese,
txuxal,,cancel,,qǔxiāo,取消,chinese,
txulik,,dispose,,chuli,处理,chinese,
txulok,,flood,,,ཆུ་ལོག,tibetan,
txulup,,rude,,cū lǔ,粗鲁,chinese,
tripor,,trip (fall),,,,,
tritik,,treaty,,,,,
tritex,,treat,,,,,
triket,,extricate,,,,,
trikut,,intricate,,,,english,
trilol,,trial,,,,english,
tredic,,tread,,,,,
trekat,,trek,,,,,
trelan,,trail,,,,english,
tramap,,trauma,,,,english,
tradik,,contradict,,,,english,
trabol,,trouble,,,,english,
tratul,,trot,,,,,
trasiq,,truss,,,,english,
traval,,travel,,,,english,
trodus,,introduce,,,,,
trusiC,,truce,,,,english,
kidnap,,kidnap,,,,,
kidran,,equation,,,,english,
kitzaf,,foam,,ketzef,קֶצֶף,hebrew,
kitzon,,external,,khitzoní,חִיצוֹנִי,hebrew,
kitzub,,ration,,ktzuba,קְצוּבָּה,hebrew,
kitxan,,kitchen,,,,,
kitrak,,kit,,,,,
kiknev,,kick off,,,,,
kisfim,,longing,,kisufim,כִּיסּוּפִים,hebrew,
kivutz,,compress,,kivutz,כִּיוּוּץ,hebrew,
kilxon,,pitchfork,,kilshon,קִלְשׁוֹן,hebrew,
kendiq,,approve,,kěndìng,肯定,chinese,
kedjot,,cage,,,,,
keproC,,cape,,,,,
ketsef,,sequence,,Qetsef,רֶצֶף,hebrew,
ketxul,,demand,,keqiu,苛求,chinese,
warkus,,oak,,quercus,,latin,
kamaqk,,comma,,,,english,
kamars,,commerce,,,,english,
kamorx,,commercial (tv),,,,english,
kamdin,,comedy,,,,english,
kamdir,,commandeer,,,,english,
kamban,,combine,,,,english,
kambat,,combat,,,,,
kampit,,compete,,,,english,
kamper,,compare,,,,,
kampak,,compact,,,,english,
kampas,,compass,,,,english,
kampal,,compile,,,,english,
kampoz,,compose,,,,english,
kamput,,computer,,,,,
kamsan,,thief,,chamsan,חַמְסָן,hebrew,
kamran,,camera,,,,english,
kanart,,con,,,,english,
kandet,,candidate,,,,,
kandon,,condone,,,,,
kanten,,contain,,,,,
kantam,,quantity/quanta,,,,english,
kantak,,quantity,,,,,
kantor,,counter,,,,,
kankak,,concoct,,,,,
kankur,,concur,,,,english,
kansit,,conceit,,,,english,
kansiv,,conceive,,,,english,
kansan,,consign,,,,,
kansoq,,baggy,,kuān sōng,宽松,chinese,
kansol,,console,,,,,
kansur,,connoisseur,,,,english,
kanfig,,configure,,,,english,
kanfan,,confine,,,,english,
kanfat,,attitude,,kànfǎ,看法,chinese,
kanfur,,confer,,,,english,
kanvin,,convene,,,,english,
kanvik,,convict,,,,,
kanven,,convey,,,,english,
kanvas,,canvas,,,,,
kanzoq,,fancy,,kanzhong,看中,chinese,
kanjur,,conjure,,conjurer,,french,
kadsul,,counsel,,,,,
kadjul,,ashamed,,khajôl,خَجُوْل,arabic,
kapten,,captain,,,,english,
kapsaz,,capsize,,,,,
kapxan,,caption,,,,english,
kapxur,,capture,,,,,
kaprik,,cap,,,,english,
kaprat,,copyright,,,,english,
katnet,,concatenate,,,,english,
katsek,,tip (peak),,qatseh,קָצֶה,hebrew,
katvun,,cut back on,,,,,
katzav,,butcher,,katzav,קַצָּב,hebrew,
katxip,,chip (block),,,,,
katlag,,catalog,,,,english,
katloC,,catalogue,,,,,
katrig,,accuse,,lekatR(e)g,לְקַטְרֵג,hebrew,
kaktas,,cactus,,,,english,
kastik,,caustic,,,,english,
kastam,,custom,,,,english,
kasked,,cascade,,,,,
kafitz,,coil,,kfitz,קְפִיץ,hebrew,
kaftor,,button,,kaftor,כַּפְתּוֹר,hebrew,
kafkaf,,flip-flop,,kafkaf,כַּפְכָּף,hebrew,
kazalt,,casualty,,,,,
kaxkix,,babble,,lekaxk(e)x,לְקַשְׁקֵשׁ,hebrew,
kaledj,,college,,,,,
kaletz,,rescue,,leHal(e)tz,לְחַלֵּץ,hebrew,
kalnin,,colony,,,,english,
kalpox,,kelp,,,,,
trik,,trick,,,,english,
kalkal,,economy,,kalkala,כַּלְכָּלָה,hebrew,
kalkun,,caulk,,,,english,
kalxaq,,oven,,kǎo xiāng,烤箱,chinese,
karitz,,slot,,charitz,חָרִיץ,hebrew,
karafs,,celery,,karafs,كَرَفْس,arabic,
karmac,,karma,,,,english,
karnev,,call off,,,,,
karnab,,cauliflower,,qarnabīṭ,قَرْنَبِيط,arabic,
karnaf,,rhino,,karnaf,קַרְנַף,hebrew,
karnal,,kernel,,,,english,
karbet,,carbonate,,,,,
karbon,,carb,,,,,
karpuc,,keep up with,,,,,
kartan,,carton,,,,english,
kartoC,,character (portray),,,,,
karkix,,rattle,,lekaRk(e)x,לְקַרְקֵשׁ,hebrew,
karset,,incarcerate,,,,,
karsaq,,audience,,kahal,קָהָל,hebrew,
karsol,,ankle,,karsol,קַרְסוֹל,hebrew,
karfon,,cuff,,,,,
karvat,,market,,karvaṭa,कर्वट,sanskrit,
karvaz,,carve,,,,,
komind,,commend,,,,english,
komarn,,comb (hair),,,,,
konsad,,coincide,,,,,
koqdip,,vacate,,kòngdì,空地,chinese,
kodorz,,coerce,,,,english,
kodjiz,,caliber,,kǒu jìng,口径,chinese,
koksat,,coax,,,,,
koxant,,quotient (division),,,,,
kolket,,collocate,,,,english,
koredj,,courage,,,,english,
kornab,,corn,,,,english,
kornar,,corner,,,,english,
kordat,,cord,,chordatus,,latin,
korban,,victim,,korban,קוֹרְבָּן,hebrew,
korkaz,,cork,,,,english,
korvid,,corvid,,,,,
kumtaj,,back down,,,,,
kumkum,,kettle,,kumkum,קוּמְקוּם,hebrew,
kumlet,,accumulate,,,,english,
kumrik,,back up,,,,,
kundal,,bowl,,kuṇḍa,कुण्ड,sanskrit,
kast,,cast,,,,,
kusrat,,cuss,,,,,
kuldan,,cool,,,,,
kurant,,current (recent),,,,english,
kurten,,curtain,,,,english,
kurtel,,curtail,,,,english,
kurkan,,cook,,,,english,
kurkul,,curriculum,,,,,
kursuf,,artichoke,,ḵuršūf,خُرْشُوف,arabic,
kurfus,,cringe,,qurfus,قرفص,arabic,
kilut,,burly,,kuí wú,魁梧,chinese,
kakak,,quack,,,,,
klimet,,acclimate,,,,english,
klidon,,cotyledon,,,,english,
zorb,,absorb,,,,english,
klefan,,clef,,,,,
kladod,,clod,,,,,
klapit,,clap,,,,,
klatur,,clatter,,,,english,
klazet,,closet,,,,english,
klaxon,,clash,,,,,
klalak,,curse,,klala,קְלָלָה,hebrew,
kloCiq,,clothing,,,,english,
kloCos,,clothe,,,,,
klolak,,shoot,,likl(o)a,לִקְלוֹעַ,hebrew,
klubas,,club (society),,,,,
krimet,,cremate,,,,english,
krinat,,buy,,krīṇā́ti,क्रीणाति,sanskrit,
kribet,,crib,,,,,
kripol,,cripple,,,,english,
kritik,,critic,,,,english,
kritak,,diacritic,,,,english,
kriket,,cricket,,,,english,
krikun,,creak,,,,,
krisat,,collapse,,krisa,קְרִיסָה,hebrew,
krilat,,frolic,,,क्रीळति,sanskrit,
kredol,,cradle,,,,english,
kretor,,crater,,,,english,
kranik,,chronic,,,,english,
krabac,,crab,,,,english,
krapiz,,crop (cut),,,,,
krapoC,,crop (food),,,,english,
kratik,,critique,,,,english,
krakol,,crackle,,,,english,
kraxik,,crush,,,,,
kralog,,crawl,,,,,
kruzig,,cruise,,,,english,
himars,,immerse,,,,english,
himpel,,impale,,,,,
himpak,,impact,,,,english,
himpal,,impel,,,,,
himtet,,imitate,,,,english,
himsiq,,invent,,himtsí,הִמְצִיא,hebrew,
hindat,,indict,,,,,
hindor,,hinder,,,,,
hinkar,,inquire,,,,english,
hinkor,,incur,,,,,
hinsab,,inhabit,,,,,
hinsal,,inhale,,,,,
hinfes,,interface,,,,,
hinfur,,infer,,,,,
hinvet,,innovate,,,,,
hinvok,,invoke,,,,english,
hinvos,,invoice,,,,,
hinxal,,initial (beginning),,,,,
hinlaq,,inlay,,,,english,
hiqkub,,incubate,,,,,
hignus,,igneous,,,,english,
higlan,,eagle (bird),,,,english,
higlut,,bed,,,ᐃᒡᓕᖅ,inuktitut,
higruf,,fist,,igruf,אִגְרוּף,hebrew,
hidlan,,headline,,,,english,
hiptaz,,hypnotize,,,,english,
hitmet,,intimate,,intimate,,english,
hitpak,,explode,,lehitpak(e)a,לְהִתְפַּקֵּעַ,hebrew,
hitkat,,ingratiate,,lehitHat(e),לְהִתְחַטֵּא,hebrew,
hitkaf,,spasm,,hetkef,הֶתְקֵף,hebrew,
hitzum,,climax,,itzum,עִיצּוּם,hebrew,
hitzuv,,design,,itzuv,עִיצּוּב,hebrew,
hitxiq,,hitch,,,,english,
tret,,iterate,,,,,
hitrap,,recover,,lehitRap(e),לְהִתְרַפֵּא,hebrewenglish,
hiklar,,equal,,,,,
hispik,,suffice,,hispík,הִסְפִּיק,hebrew,
hiznik,,neglect,,hizníakh,הִזְנִיחַ,hebrew,
hixpuz,,hospital,,ishpuz,אִשְׁפּוּז,hebrew,
hixkol,,cluster,,eshkol,אֶשְׁכּוֹל,hebrew,
hixvar,,supreme,,Ishvara,ईश्वर,sanskrit,
hilaps,,elapse,,,,english,
hilutz,,constrain,,ilutz,אִילּוּץ,hebrew,
hiltac,,hesitate,,iltāṯa,اِلْتَاثَ,arabic,
hirgat,,irrigate,,,,,
hirdas,,iridescence,,,,english,
hembam,,embalm,,,,,
hempac,,empathy,,,,english,
hendir,,endear,,,,,
hendus,,induce,,,,english,
henrik,,henry (measurement),,,,english,
heqk,,angry,,,,english,
heqkor,,anchor,,,,english,
heqsur,,hang out,,,,,
heqvun,,hang on,,,,,
galut,,exile,,,גָּלוּת,hebrew,
hegzal,,exhale,,,,,
hegzum,,exhume,,,,,
hegzud,,exude,,,,,
hedriq,,aid,,,,english,
hetxan,,yawn,,hē qian,呵欠,chinese,
hekorn,,acorn,,,,english,
heksat,,excite,,,,english,
heksul,,excel,,,,,
hekrat,,acre,,,,,
hesnop,,hail (snow),,,,,
hecral,,ethereal,,,,english,
helbon,,insult,,elbon,עֶלְבּוֹן,hebrew,
herand,,errand,,,,english,
hament,,amend,,,,english,
hamant,,amount,,,,english,
nust,,embed,,,,,
hambas,,emboss,,,,,
hampid,,impede,,,,,
hampan,,hump,,,,,
hampor,,hamper,,,,,
hamtet,,amputate,,,,english,
hamrid,,instigate,,lehamR(i)d,לְהַמְרִיד,hebrew,
hanand,,bliss,,Ānanda,आनन्द,sanskrit,
hanaks,,annex,,,,english,
hanart,,inherit,,,,english,
hanorx,,xnor,,,,,
hanmik,,diminish,,lehanm(i)H,לְהַנְמִיךְ,hebrew,
handid,,indeed,,,,english,
handan,,bleak,,àn dàn,暗淡,chinese,
handag,,hound,,,,,
handav,,endeavor,,,,english,
hanbal,,enable,,,,,
hanpas,,encompass,,,,english,
hantik,,antique,,,,english,
hantil,,until,,,,,
hantel,,entail,,,,,
hantan,,intertwine,,,,english,
hantoj,,haunt,,,,,
hankit,,impose,,lehanH(i)t,לְהַנְחִית,hebrew,
hanket,,antiquate,,,,english,
hankod,,encode,,,,english,
hansul,,ensue,,,,,
hanfuz,,infuse,,,,,
hanvop,,envelope,,,,,
hanzaq,,mount,,ānzhuāng,安装,chinese,
hanxim,,resuscitate,,lehanx(i)m,לְהַנְשִׁים,hebrew,
hanxet,,initiate,,,,,
hanxaq,,serene,,anxiang,安详,chinese,
hanlag,,analog,,,,,
hanlat,,enlighten,,,,english,
nalz,,analyse,,,,,
haqgej,,engage,,,,english,
haqkid,,honk,,,,,
haqlek,,queue,,hángliè,行列,chinese,
hagalx,,agriculture,,,,,
hagnid,,agony,,,,english,
hagbir,,boost,,lehagb(i)R,לְהַגְבִּיר,hebrew,
hagzim,,exaggerate,,lehagz(i)m,לְהַגְזִים,hebrew,
hagzam,,exaggeration,,hagzama,הַגְזָמָה,hebrew,
haglid,,scar,,lehagl(i)d,לְהַגְלִיד,hebrew,
kek,,agree,,,,,
hagrat,,fee,,agra,אַגְרָה,hebrew,
hagrot,,hag,,,,,
hadorn,,adorn,,,,english,
hadorz,,adore,,,,english,
hadmix,,admission,,,,,
hadmar,,admire,,,,,
hadgim,,demonstrate,,lehadg(i)m,לְהַדְגִּים,hebrew,
hadkik,,repress,,lehadH(i)k,לְהַדְחִיק,hebrew,
hadket,,adequate,,,,english,
hadsak,,displacement of water by submerged body,,hedchek,הֶדְחֵק,hebrew,
hadvat,,non-dual,,advaita,अद्वैत,sanskrit,
hadvas,,advice,,,,english,
hadzon,,odds,,,,,
hadjin,,adjoin,,,,english,
hadjan,,convince,,ḥajja,حَجَّ,arabic,
hadjat,,propel,,,अजति,sanskrit,
hadjak,,hijack,,,,english,
hadxen,,audition,,,,english,
hadret,,hydrate,,,,,
hadres,,address,,,,english,
hadron,,hadron,,,,,
habort,,abort,,,,english,
habnet,,hibernate,,,,,
habdak,,abduct,,,,english,
habtus,,obtuse,,,,english,
habses,,obsess,,,,,
habzar,,physically distinct item,,ʾaḇzā́r,אַבְזָר,hebrew,
habjur,,abjure,,abjurer,,french,
hablix,,abolish,,,,,
habrid,,hybrid,,,,english,
habrop,,abrupt,,,,english,
hapend,,append,,,,english,
hapont,,appoint,,,,,
hapdat,,expedite,,,,,
haptor,,opt,,,,,
haptud,,aptitude,,,,english,
hapsod,,episode,,,,,
haplan,,apply,,,,english,
hapret,,operate,,,,english,
haprez,,appraise,,,,english,
hapraz,,oppose/against,,,,,
haprut,,uproot,,,,,
hatest,,attest,,,,english,
hatand,,attend,,,,,
hatgar,,challenge,,etgar,אֶתְגָר,hebrew,
hatbil,,dip,,lehatb(i)l,לְהַטְבִּיל,hebrew,
hatbus,,bus,,,,,
hatkaf,,seizure (taking),,hatkafa,הַתְקָפָה,hebrew,
hatsap,,offer,,hatsa'ah,הַצָעָה,hebrew,
hatvot,,outline,,lehatv(o)t,לְהַתְווֹת,hebrew,
hatzid,,parade,,lehatz'(i)d,לְהַצְעִיד,hebrew,
hatzir,,hay,,chatzir,חָצִיר,hebrew,
hatzel,,shade,,lehatz(e)l,לְהָצֵל,hebrew,
hatzan,,cool (action),,lehatz(e)n,לְהָצֵן,hebrew,
hatzat,,ignite,,hatzata,הַצָּתָה,hebrew,
hatzar,,declaration,,hatzhara,הַצְהָרָה,hebrew,
hatzum,,petition,,atzuma,עֲצוּמָה,hebrew,
hatxik,,hatch,,,,,
hatxiv,,achieve,,,,,
hatxol,,cooperate,,hezuo,合作,chinese,
hatxuq,,estuary,,,,english,
hatlod,,outlaw,,,,,
hatrid,,disturb,,lehatR(i)d,לְהַטְרִיד,hebrew,
hatrib,,attribute,,,,english,
hatrak,,attract,,,,english,
hakant,,account,,,,english,
hakord,,accord,,,,,
hakniq,,subdue,,lehaHn(i)a,לְהַכְנִיעַ,hebrew,
haknik,,choke,,lehaHn(i)k,לְהַחְנִיק,hebrew,
hakbid,,burden,,lehaHb(i)d,לְהַכְבִּיד,hebrew,
hakbar,,mouse,,achbar,עַכְבָּר,hebrew,
hakbod,,hexapoda,,,,,
hakpan,,occupy,,,,,
haktiv,,activity,,,,,
haktad,,tie,,ʿaqád,עָקַד,hebrew,
haktor,,act,,,,english,
haksim,,enchant,,lehaks(i)m,לְהַקְסִים,hebrew,
haksan,,axon,,,,,
haksal,,accelerate,,,,english,
haksom,,axiom,,,,english,
haksol,,axel,,,,english,
hakvet,,activate,,,,english,
hakveC,,determinant (math),,,ákveða,icelandic,
hakzin,,express,,lehaHtz(i)n,לְהַחְצִין,hebrew,
hakxiv,,esteem,,lehaHx(i)v,לְהַחְשִׁיב,hebrew,
hakxaz,,actualize,,,,english,
hakxar,,imperishable,,akshara,अक्षर,sanskrit,
hakxun,,auction,,,,english,
hakliv,,staple (action),,lehaHl(i)v,לְהַכְלִיב,hebrew,
haklem,,acclaim,,,,english,
haklat,,resolution,,hachlata,הַחְלָטָה,hebrew,
haklud,,occlude,,,,,
hakret,,accurate,,,,,
hakrav,,scorpion,,akrav,עַקְרָב,hebrew,
hakrun,,accrue,,,,english,
hasend,,ascend,,,,english,
hasamp,,assemble,,,,,
hasalt,,assault,,,,,
hasgar,,closure,,hesger,הֶסְגֵּר,hebrew,
hasdir,,resolve,,lehasd(i)R,לְהַסְדִּיר,hebrew,
haspex,,especially,,,,english,
haspar,,aspire,,,,english,
hastek,,oust,,,,,
haskim,,consent,,lehask(i)m,לְהַסְכִּים,hebrew,
haskit,,husk,,,,,
haslim,,escalate,,lehasl(i)m,לְהַסְלִים,hebrew,
hasram,,ridiculous,,,हास्य,sanskrit,
hasrat,,film (video),,hasrata,הַסְרָטָה,hebrew,
hafiks,,affix,,,,english,
hafend,,offend,,,,english,
haform,,affirm,,,,,
hafnot,,refer,,lehafn(o)t,לְהַפְנוֹת,hebrew,
hafbet,,alphabet,,,,english,
haftir,,exempt,,lehaft(i)R,לְהַפְטִיר,hebrew,
hafkid,,deposit,,lehafk(i)d,לְהַפְקִיד,hebrew,
hafkir,,forfeit,,lehafk(i)R,לְהַפְקִיר,hebrew,
hafkas,,efficacy,,,,english,
hafsik,,interrupt,,lehafs(i)k,לְהַפְסִיק,hebrew,
hafsat,,offset,,,,,
hafxir,,thaw,,lehafx(i)R,לְהַפְשִׁיר,hebrew,
haflik,,afflict,,,,english,
haflet,,affiliate,,,,english,
haflot,,discriminate,,lehafl(o)t,לְהַפְלוֹת,hebrew,
hafrid,,afford,,,,,
havort,,avert,,,,english,
havtak,,ensure,,lehavt(i)aH,לְהַבְטִיחַ,hebrew,
havkin,,distinguish,,lehavH(i)n,לְהַבְחִין,hebrew,
havlit,,highlight,,lehavl(i)t,לְהַבְלִיט,hebrew,
havriz,,shirk,,lehavR(i)z,לְהַבְרִיז,hebrew,
havrix,,brush,,lehavR(i)x,לְהַבְרִישׁ,hebrew,
hazmin,,invite,,lehazm(i)n,לְהַזְמִין,hebrew,
hazman,,invitation,,hazmana,הַזְמָנָה,hebrew,
hazkir,,remind,,lehazk(i)R,לְהַזְכִּיר,hebrew,
hazlif,,sprinkle,,lehazl(i)f,לְהַזְלִיף,hebrew,
hazrik,,inject,,lehazR(i)k,לְהַזְרִיק,hebrew,
haxitz,,reproduce,,lehaxR(i)tz,לְהַשְׁרִיץ,hebrew,
haxaps,,inspiration,,hashra'a,הַשְׁרָאָה,hebrew,
haxmit,,omit,,lehaxm(i)t,לְהַשְׁמִיט,hebrew,
haxmad,,extermination,,hashmada,הַשְׁמָדָה,hebrew,
haxpak,,influence,,hashpa'a,הַשְׁפָּעָה,hebrew,
haxpal,,humiliation,,hashpala,הַשְׁפָּלָה,hebrew,
haxtil,,transplant,,lehaxt(i)l,לְהַשְׁתִּיל,hebrew,
siC,,hush,,,,,
haxlim,,reconcile,,lehaxl(i)m,לְהַשְׁלִים,hebrew,
haxlak,,implication,,hashlacha,הַשְׁלָכָה,hebrew,
haxrix,,implant,,lehaxR(i)x,לְהַשְׁרִישׁ,hebrew,
hacket,,authenticate,,,,english,
haclit,,athlete,,,,english,
haCfel,,asymptote,,,aðfella,icelandic,
haland,,island,,,,english,
haladj,,allege,,,,english,
halark,,luxury,,háo huá,豪华,chinese,
halorg,,allow,,,,,
halord,,award,,,,english,
halmor,,helm,,,,,
sad,,elm,,,חֶסֶד,hebrew,
halnet,,alternate,,,,english,
halgex,,allegation,,,,,
halgor,,allegory,,,,english,
halbon,,protein,,chelbon,חֶלְבּוֹן,hebrew,
halpen,,help,,,,english,
halpan,,span,,,,,
haltor,,alter,,,,,
haltur,,moonlighting,,chaltura,חַלְטוּרָה,hebrew,
halket,,allocate,,,,english,
halkal,,alcohol,,,,,
halvon,,hallow,,,,,
haritz,,tyrant,,aritz,עָרִיץ,hebrew,
harest,,arrest,,,,english,
haradj,,prohibit,,ḥarraja,حَرَّجَ,arabic,
harats,,country,,eretz,אֶרֶץ,hebrew,
harutz,,ravine,,arutz,עָרוּץ,hebrew,
harnak,,purse,,arnak,אַרְנָק,hebrew,
hargiz,,irritate,,lehaRg(i)z,לְהַרְגִּיז,hebrew,
hargal,,habit,,hergel,הֶרְגֵּל,hebrew,
harbor,,harbor,,,,,
hartiq,,discourage,,lehaRt(i)a,לְהַרְתִּיעַ,hebrew,
hartak,,architect,,,,,
harked,,arcade,,,,english,
harvik,,whale,,arviq,ᐊᕐᕕᖅ,inuktitut,
harxim,,impress,,lehaRx(i)m,לְהַרְשִׁים,hebrew,
harxam,,registration,,harshama,הַרְשָׁמָה,hebrew,
harxak,,conviction,,harsha'a,הַרְשָׁעָה,hebrew,
harCur,,rigorous,,,harður,icelandic,
harlig,,early,,,,english,
hoqnev,,hold off,,,,,
hoqvun,,hold on,,,,,
hotrut,,oat,,,,,
hoksip,,hoax,,,,,
hostik,,osteichthyes,,,,,
hostan,,host,,,,english,
hostar,,hoist,,,,,
hovxad,,overshadow,,,,english,
hocrak,,oath,,,,,
holzem,,latter,,hòu zhě,后者,chinese,
hornit,,wasp,,,,english,
horden,,ordain,,,,,
horbot,,orb,,,,,
horfan,,orphan,,,,english,
horfad,,horrify,,,,,
horlig,,hurl,,,,,
humlet,,humiliate,,,,,
hunmat,,frantic,,,उन्मत्त,sanskrit,
hunlit,,wedding,,hūn lǐ,婚礼,chinese,
huqgat,,aunt/uncle,,,,,
hubtan,,obtain,,,,english,
huprat,,upright,,,,english,
hutxit,,accustom,,ucitá,उचित,sanskrit,
hutxik,,train (car),,huoche,火车,chinese,
hutxuk,,fetch,,huoqu,获取,chinese,
huksuk,,blubber,,,ᐅᖅᓱᖅ,inuktitut,
huforn,,hoof,,,,,
huvkan,,diagnose,,uv'khán,אֻבְחַן,hebrew,
hulgap,,repent,,huigai,悔改,chinese,
hulbin,,currency,,huò bì,货币,chinese,
hurast,,heuristic,,,,english,
hurmat,,hermit,,,,english,
hurdor,,hood (cover),,,,,
simbos,,symbiosis,,,,english,
simbol,,symbol,,,,english,
slitx,,simulate,,,,english,
simlat,,assimilate,,,,english,
sigrat,,swig,,,,,
wig,,kaleidoscope,,,,,
sigroC,,cigarette,,,,english,
sidjan,,obsidian,,,,,
siptat,,precipitate,,,,english,
sipran,,seep,,,,,
sitark,,sweater,,,,,
sitxet,,situate,,,,english,
sitxol,,silk,,sī chóu,丝绸,chinese,
sikent,,subsequent,,,,,
siksit,,sciuridae (squirrel),,siksit,ᓯᒃᓯᑦ,inuktitut,
sikrit,,secrete,,,,english,
sikrat,,secret,,,,english,
sistur,,sister,,,,,
sifnik,,symphony,,,,,
siladj,,bush,,siach,שִׂיחַ,hebrew,
siltan,,silt,,,,,
sirtun,,carcinogenesis,,sirtun,סִירְטוּן,hebrew,
sirkut,,circuit,,,,english,
semnar,,seminar,,,,,
sembal,,resemble,,,,english,
senxur,,censure,,,,english,
sedjun,,sage (plant),,,,,
seprad,,sap (tree),,,,english,
seprat,,separate,,,,english,
setras,,citrus,,,,english,
sekxan,,section,,,,engllsh,
sevors,,sever,,,,english,
samolt,,simultaneous,,,,,
samtan,,wholesome,,śáṃtanu,शंतनु,sanskrit,
samsar,,course,,saṃsāra,संसार,sanskrit,
samlar,,shock,,lesamR(e)R,לְסַמְרֵר,hebrew,
santig,,scent,,,,english,
santor,,saunter,,,,,
sansiv,,sensitive,,,,english,
sanver,,dazzle,,lesanv(e)R,לְסַנְווֵר,hebrew,
sanzaq,,bulk,,sǎn zhuāng,散装,chinese,
sanrik,,sign up,,,,,
saqkat,,suspect,,,शङ्कते,sanskrit,
sagsig,,prosper,,lesags(e)g,לְשַׂגְשֵׂג,hebrew,
sard,,side,,,,english,
sadjam,,equipment,,,सज्जा,sanskrit,
sadjad,,bow down in respect,,sajada,سَجَدَ,arabic,
sadlan,,sideline,,,,english,
sadran,,steward,,sadran,סַדְרָן,hebrew,
sabdiv,,subdivide,,,,,
sabtut,,substitute,,,,,
sabzum,,subsume,,,,english,
